timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
927932116,0.00237125,-0.00764344,-0.00183078,0.83861,0.00449908,0.0355169,-0.543555,0.870776,-0.0397471,-0.0356996,-0.488769,1
927964049,-0.00382664,0.00498015,-0.00292103,0.838585,0.00447665,0.0355081,-0.543594,0.870776,-0.0397471,-0.0356996,-0.488769,1
927996088,0.00156048,-0.00462964,0.000360294,0.838574,0.00451765,0.0355136,-0.54361,0.870776,-0.0397471,-0.0356996,-0.488769,1
928028133,-0.00434858,-0.00258519,0.00314987,0.838598,0.0044501,0.035431,-0.543579,0.870776,-0.0397471,-0.0356996,-0.488769,1
928060152,0.00244818,0.0008909,0.00219453,0.838616,0.00447905,0.0354735,-0.543548,0.870776,-0.0397471,-0.0356996,-0.488769,1
928088152,0.00129065,-0.00803524,-0.00370614,0.838601,0.00447254,0.0354022,-0.543576,0.870776,-0.0397471,-0.0356996,-0.488769,1
928120104,-0.00254747,0.00500639,-0.00411501,0.838562,0.00443725,0.0354152,-0.543637,0.870776,-0.0397471,-0.0356996,-0.488769,1
928152059,0.0010699,-0.00643127,0.00270739,0.838547,0.00445215,0.0354132,-0.543659,0.870776,-0.0397471,-0.0356996,-0.488769,1
928184122,-0.00100703,-0.0025086,0.00617011,0.838582,0.00441532,0.0353103,-0.543612,0.870776,-0.0397471,-0.0356996,-0.488769,1
928216078,-0.00164677,0.000370365,0.000268547,0.838612,0.00440693,0.0353608,-0.543563,0.870776,-0.0397471,-0.0356996,-0.488769,1
928248159,0.000304619,-0.00453205,-0.00516439,0.838582,0.00439297,0.0353145,-0.543613,0.870776,-0.0397471,-0.0356996,-0.488769,1
928280906,-0.000321991,0.00434017,-0.00305694,0.838534,0.00440996,0.0353284,-0.543686,0.870776,-0.0397471,-0.0356996,-0.488769,1
928308971,-0.00271042,-0.00396763,0.00135094,0.838524,0.00439626,0.0353642,-0.543699,0.870776,-0.0397471,-0.0356996,-0.488769,1
